"MEASURE - Absolute value in thousands"

YEAR,"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"  ADB: Group A",40748.629,41501.137,42279.683,43084.016,43914.467,44771.23,45654.973,46566.404,47506.476,48476.363,49476.959,50509.17,51573.349,52669.451,53797.299,54956.762,56140.638,57348.184,58592.813,59893.266,61258.496,62699.707,64200.751,65710.375,67159.20200000001,68499.287,69714.325,70824.133,71862.163,72879.23,73915.921,74990.848,76073.054,77230.462,78433.52800000001,79689.533,80981.534,82328.50599999999,83813.575,85545.84,87591.696,89998.022,102667.877,105650.424,108562.746,111259.719,113677.915,115860.313,117897.549,119930.77,122059.483,124316.676,126659.269,129021.047,131303.507,133440.127,135409.914,137249.909,139022.311,140816.497,142698.584,144688.061,146770.309,148935.649,151162.775,153435.18,155749.528,158110.214,160516.151,162966.739,165457.879,167989.079,170548.34,173106.178,175624.915,178076.537,180448.238,182743.029,184969.025,187141.91,189273.404,191362.983,193406.199,195406.883,197369.321,199296.77,201190.649,203050.079,204872.295,206653.297,208389.595,210080.554,211726.192,213324.635,214873.796,216372.158,217818.662,219213.279,220556.459,221849.208,223092.361
"  ADB: Group B",454544.587,461880.981,469637.533,477809.955,486396.137,495396.295,504812.897,514650.817,524916.6,535617.91,546761.242,558349.4620000001,570379.9030000001,582843.233,595726.221,609018.971,622728.988,636860.616,651398.716,666323.264,681626.296,697300.699,713369.754,729893.5870000001,746952.285,764605.6750000001,782857.488,801695.37,821139.643,841209.899,861907.512,883234.551,905161.9620000001,927564.9300000001,950323.877,973332.142,996554.865,1019979.063,1043548.319,1067205.75,1090912.719,1114609.885,1159672.536,1183931.695,1208401.352,1233162.625,1258238.199,1283558.911,1309001.497,1334395.652,1359611.059,1384589.376,1409337.598,1434816.289,1459194.598,1483413.466,1507475.865,1531340.537,1554932.126,1578153.235,1600939.032,1623251.702,1645121.854,1666638.023,1687928.361,1709085.352,1730132.641,1751041.079,1771785.94,1792323.366,1812617.151,1832658.557,1852446.442,1871958.874,1891170.838,1910059.134,1928604.894,1946792.095,1964603.478,1982022.398,1999031.526,2015618.804,2031765.97,2047442.465,2062613.053,2077250.792,2091341.418,2104882.887,2117877.086,2130332.132,2142255.223,2153644.217,2164498.565,2174830.759,2184657.325,2193991.398,2202837.413,2211196.135,2219072.005,2226468.933,2233389.499
"  ADB: Group C",702863.154,721743.137,738061.352,752754.068,766587.567,780158.623,793887.396,808024.39,822670.382,837810.225,853413.1629999999,869540.382,886438.944,904581.8639999999,924554.159,946717.553,971247.464,997873.217,1025938.697,1054519.71,1082890.776,1110885.381,1138524.596,1165505.057,1191524.231,1216395.265,1239977.646,1262366.804,1283932.155,1305209.808,1326637.779,1348161.394,1369782.196,1392045.453,1415630.459,1440932.913,1468278.391,1497301.916,1526850.428,1555326.785,1581579.476,1605182.402,1662872.826,1682236.487,1700531.145,1718402.221,1735971.346,1753069.561,1769721.631,1785898.943,1801597.942,1816884.977,1831861.718,1845648.124,1860182.403,1874604.714,1888930.111,1903188.819,1917469.779,1931876.928,1946470.633,1961273.112,1976224.967,1991196.986,2006009.299,2020510.907,2034657.973,2048420.309,2061676.689,2074290.326,2086159.775,2097222.581,2107478.454,2116971.336,2125781.404,2133971.442,2141546.164,2148492.222,2154835.622,2160606.275,2165828.617,2170520.301,2174688.854,2178335.669,2181456.845,2184051.951,2186126.974,2187694.754,2188769.569,2189368.472,2189505.029,2189190.538,2188428.75,2187216.224,2185545.181,2183412.551,2180826.146,2177798.997,2174339.717,2170458.485,2166167.466
"African Union",227525.636,232047.544,236806.318,241793.356,247003.073,252432.914,258083.393,263958.03,270062.939,276406.293,282996.096,289838.474,296935.308,304284.066,311879.522,319720.677,327814.159,336171.747,344803.908,353722.926,362942.904,372469.074,382316.177,392517.539,403114.375,414138.179,425602.596,437507.232,449849.835,462621.791,475815.241,489421.931,503439.48,517871.105,532722.005,547988.51,563675.378,579758.107,596168.321,612816.237,629637.668,646614.891,663764.928,681103.716,698661.072,716467.139,734539.692,752897.8860000001,771579.42,790628.6260000001,810091.1310000001,829992.186,850371.184,871304.6,892883.091,915179.23,938220.2290000001,962017.8270000001,986605.772,1012014.566,1038259.624,1065352.157,1093272.482,1121961.672,1151337.262,1181329.564,1211918.382,1243087.168,1274772.918,1306903.03,1339423.919,1372299.174,1405528.333,1439139.789,1473183.735,1507695.465,1542673.653,1578099.088,1613968.955,1650277.384,1687017.229,1724181.431,1761760.323,1799739.458,1838101.382,1876828.239,1915904.243,1955313.128,1995034.601,2035046.954,2075328.205,2115859.528,2156619.825,2197580.613,2238710.855,2279982.622,2321373.082,2362864.128,2404437.396,2446076.688,2487764.932
"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",13066.087,13481.706,13902.648,14327.212,14754.861,15186.085,15622.446,16066.612,16522.112,16992.832,17482.158,17991.681,18520.141,19063.142,19614.203,20168.564,20724.179,21281.893,21843.029,22410.115,22984.593,23566.742,24154.729,24745.44,25334.755,25919.634,26499.755,27076.16,27648.842,28218.284,28785.399,29348.461,29908.912,30474.508,31055.704,31659.334,32288.639,32939.844,33603.524,34266.272,34918.137,35555.774,36181.15,36796.116,37404.371,38008.572,38607.91,39200.669,39787.395,40368.853,40945.283,41517.318,42083.824,42640.941,43183.637,43708.3,44204.872,44672.722,45128.508,45595.752,46086.33,46627.822,47204.252,47733.388,48103.12,48243.657,48107.541,47747.154,47314.66,47021.963,47017.319,47357.955,47987.58,48801.603,49641.315,50389.19,51016.689,51554.391,52014.484,52426.442,52812.166,53167.571,53481.217,53761.151,54018.142,54260.436,54491.463,54710.844,54917.971,55110.856,55288.087,55450.49,55599.789,55736.328,55860.476,55972.599,56073.066,56162.133,56239.931,56306.295,56361.296
"AMU (Arab Maghreb Union)",23239.501,23772.617,24335.087,24927.781,25550.909,26204.132,26886.337,27595.732,28330.071,29086.753,29863.423,30658.726,31472.7,32307.209,33165.058,34048.198,34958.754,35895.797,36854.557,37828.518,38813.832,39809.227,40819.147,41852.604,42921.897,44036.518,45196.179,46399.722,47654.327,48968.397,50345.811,51789.513,53291.542,54830.836,56378.933,57914.022,59424.853,60911.748,62378.275,63832.864,65279.852,66720.885,68147.136,69540.32700000001,70876.557,72139.86900000001,73326.295,74444.247,75506.05,76530.00199999999,77532.367,78517.405,79490.33,80470.02,81479.03599999999,82534.874,83645.689,84812.673,86036.813,87316.05499999999,88647.947,90031.254,91465.09600000001,92946.636,94472.174,96036.198,97637.306,99267.174,100904.584,102522.692,104101.166,105630.825,107112.282,108547.488,109942.713,111302.831,112626.965,113913.105,115164.246,116384.451,117577.386,118744.549,119887.51,121010.202,122117.161,123212.059,124296.503,125371.313,126437.747,127496.89,128549.19,129595.008,130633.725,131663.545,132681.909,133686.384,134675.877,135648.956,136602.404,137532.425,138435.79
"APEC (Asia-Pacific Economic Cooperation)",1217473.94,1244790.264,1270234.073,1294601.911,1318533.963,1342514.486,1366864.704,1391749.557,1417197.476,1443132.903,1469474.089,1496237.75,1523630.441,1552087.954,1582163.727,1614202.961,1648346.702,1684335.423,1721601.372,1759344.907,1796929.888,1834229.423,1871238.995,1907599.718,1942922.767,1976962.634,2009558.138,2040837.369,2071227.604,2101347.402,2131692.006,2162208.802,2192870.486,2224208.732,2256879.843,2291250.666,2327657.707,2365707.508,2404130.263,2441177.409,2475592.406,2506892.302,2393898.301,2419953.084,2444991.992,2469698.747,2494250.393,2518429.545,2542072.551,2564893.247,2586718.336,2607521.365,2627497.259,2646010.57,2665348.024,2684897.335,2704755.59,2724865.857,2745188.545,2765625.8,2786086.667,2806556.327,2827009.885,2847320.832,2867329.497,2886895.29,2905972.308,2924505.425,2942336.665,2959283.261,2975214.744,2990052.006,3003814.096,3016596.665,3028553.77,3039803.215,3050365.981,3060219.87,3069390.699,3077900.745,3085767.526,3093016.132,3099656.643,3105671.074,3111028.934,3115711.45,3119719.318,3123073.164,3125798.436,3127929.279,3129493.198,3130505.734,3130971.875,3130896.215,3130279.703,3129126.591,3127450.312,3125267.529,3122589.487,3119427.76,3115796.472
"APTA (Asia-Pacific Trade Agreement)",998284.7389999999,1021070.273,1041511.733,1060541.575,1078922.446,1097247.417,1115933.049,1135226.247,1155224.489,1175909.732,1197249.637,1219305.886,1242328.709,1266797.489,1293305.831,1322223.501,1353736.425,1387580.457,1423100.525,1459371.479,1495672.331,1531837.227,1567905.193,1603615.762,1638721.224,1673075.126,1706542.64,1739210.596,1771453.916,1803810.392,1836710.779,1870106.661,1903975.97,1938788.408,1975124.048,2013304.021,2053621.45,2095718.131,2138454.901,2180265.366,2220020.232,2257275.636,2292330.86,2325714.572,2358290.394,2390692.99,2423037.426,2455109.621,2486834.314,2518054.454,2548662.138,2578665.681,2608146.054,2637148.608,2665733.714,2693945.97,2721797.444,2749279.369,2776388.377,2803113.795,2829443.646,2855361.276,2880854.847,2905918.725,2930548.409,2954727.251,2978450.583,3001675.249,3024298.957,3046191.298,3067253.823,3087439.759,3106753.718,3125213.715,3142861.253,3159726.437,3175798.907,3191059.198,3205518.912,3219194.273,3232093.896,3244225.48,3255577.008,3266113.149,3275786.068,3284562.136,3292433.115,3299411.792,3305512.499,3310758.504,3315170.792,3318758.423,3321529.271,3323503.673,3324705.123,3325155.457,3324872.196,3323870.609,3322167.28,3319778.577,3316721.554
"ASEAN (Association of Southeast Asian Nations)",165134.1,168897.52,172942.743,177256.768,181827.07,186641.854,191690.004,196960.991,202444.881,208132.324,214013.991,220080.512,226322.147,232728.544,239289.115,245994.253,252830.9,259790.651,266873.564,274083.161,281417.675,288887.103,296477.81,304137.271,311796.195,319410.873,326947.119,334433.005,341962.689,349668.552,357641.674,365908.22,374425.761,383131.277,391930.394,400747.753,409566.079,418385.417,427167.249,435870.36,444464.194,452921.652,461239.748,469443.086,477572.447,485655.311,493703.988,501702.001,509614.778,517393.802,525007.9250000001,532449.608,539741.9520000001,545976.021,553074.7780000001,560160.951,567236.39,574301.718,581397.463,588571.945,595853.7290000001,603263.686,610777.5870000001,618321.149,625790.9080000001,633109.405,640247.351,647216.492,654030.463,660718.726,667301.412,673774.6,680122.1,686338.57,692417.265,698351.898,704139.63,709777.184,715257.86,720574.069,725719.733,730691.52,735487.958,740107.188,744548.209,748810.498,752892.478,756793.994,760517.8860000001,764068.4840000001,767449.026,770660.847,773703.884,776577.802,779281.893,781815.862,784181.113,786379.456,788411.787,790279.0550000001,791982.73
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",821566.84,842575.5330000001,860996.453,877785.829,893724.064,909416.225,925284.7560000001,941576.461,958383.796,975680.143,993425.178,1011677.952,1030695.402,1050974.59,1073132.856,1097555.787,1124414.416,1153430.801,1183964.249,1215108.965,1246143.999,1276924.639,1307446.323,1337305.244,1366063.979,1393443.781,1419253.754,1443627.527,1467039.54,1490179.425,1513593.449,1537265.556,1561155.225,1585738.115,1611587.866,1639025.005,1668354.427,1699240.178,1730562.673,1760777.47,1788771.534,1814121.841,1837130.514,1858302.589,1878465.67,1898233.857,1917735.288,1936786.819,1955335.261,1973251.65,1990462.097,2006999.405,2022986.834,2037598.812,2052857.034,2067964.515,2082948.223,2097824.472,2112688.045,2127644.001,2142752.32,2158046.438,2173468.205,2188864.393,2204021.408,2218765.499,2233043.417,2246837.422,2260052.142,2272588.038,2284370.827,2295346.682,2305508.248,2314891.533,2323563.219,2331575.505,2338932.205,2345623.34,2351674.356,2357115.203,2361969.989,2366256.451,2369980.869,2373141.463,2375730.312,2377744.671,2379189.887,2380080.869,2380435.558,2380276.156,2379620.668,2378481.87,2376864.833,2374769.982,2372193.99,2369137.187,2365609.518,2361624.679,2357191.621,2352320.054,2347021.844
"BioTrade countries",2159353.294,2200231.971,2240172.546,2279806.864,2319655.586,2360127.883,2401517.449,2444006.356,2487677.949,2532537.727,2578575.625,2625833.445,2674462.563,2724749.877,2777046.183,2831557.328,2888367.109,2947276.339,3007841.004,3069444.79,3131589.133,3194185.804,3257202.981,3320274.006,3382983.301,3445066.137,3506347.194,3566967.148,3627387.893,3688274.616,3750142.071,3812941.05,3876589.587,3941506.802,4008200.529,4076918.632,4147940.437,4220858.606,4294382.418,4366755.696000001,4436708.991,4503753.622,4477115.045,4534105.116,4595351.232,4656179.119,4716719,4776795.623,4836416.081,4895528.007,4954123.609,5012221.255,5069956.011,5126619.483,5184380.725,5242526.271,5301168.77,5360241.303,5418926.843,5478170.786,5537133.716,5595698.148,5643789.611,5701510.416,5759216.002,5817001.219,5874906.628,5932760.295,5990186.753,6046685.803,6101889.595,6155642.799,6208009.305,6259114.17,6309181.189,6358375.048,6406699.172,6454085.389,6500547.545,6546094.028,6590727.165,6634459.204,6677282.105,6719149.583,6759998.026,6799780.05,6838479.206,6876103.134,6912656.817,6948154.326,6982606.444,7016014.266,7048374.728,7079691.331,7109967.854,7139210.262,7167426.693,7194626.933,7220819.424,7246014.168,7270222.8
"CACM (Central American Common Market)",9961.913000000001,10224.208,10502.651,10796.585,11105.445,11428.813,11766.294,12117.624,12482.581,12860.972,13252.63,13657.219,14074.305,14503.133,14942.899,15392.921,15852.822,16322.287,16800.946,17288.521,17784.715,18289.174,18801.651,19322.208,19850.922,20387.851,20932.901,21485.694,22045.92,22613.098,23186.847,23767.464,24354.951,24948.326,25546.327,26148.291,26753.086,27361.641,27977.884,28607.165,29253.013,29916.825,30596.544,31287.971,31985.144,32683.474,33381.656,34080.146,34778.524,35476.848,36175.196,36872.936,37569.7,38266.101,38963.122,39661.552,40361.563,41063.019,41765.905,42470.201,43175.884,43882.629,44590.556,45300.441,46013.376,46729.979,47450.389,48173.681,48897.931,49620.645,50339.812,51054.377,51764.1,52468.728,53168.329,53862.753,54551.461,55233.647,55908.009,56573.142,57227.933,57871.632,58503.976,59125.075,59735.146,60334.328,60922.399,61498.968,62063.661,62616.23,63156.273,63683.622,64198.133,64699.761,65188.565,65664.473,66127.457,66577.19899999999,67013.541,67436.196,67844.978
"CAN (Andean Community)",26311.024,26957.864,27644.024,28367.504,29126.858,29921.052,30749.689,31612.75,32510.71,33444.175,34413.344,35417.565,36454.572,37520.455,38610.158,39719.489,40847.457,41993.072,43152.179,44319.915,45493.232,46669.521,47850.152,49041.115,50251.015,51485.991,52747.922,54034.833,55344.423,56672.876,58017.23,59376.751,60751.984,62142.577,63548.565,64969.625,66404.474,67851.88800000001,69311.883,70784.677,72269.772,73764.643,75266.438,76773.724,78285.174,79798.145,81312.64900000001,82823.67,84317.587,85776.938,87189.302,88550.14900000001,89862.614,91131.587,92365.613,93572.011,94757.784,95925.554,97074.49000000001,98201.91899999999,99310.09,100383.897,101434.287,102519.326,103716.427,105073.16,106624.022,108332.352,110087.82,111736.664,113170.818,114346.666,115302.996,116115.033,116897.409,117733.57,118644.444,119603.363,120589.529,121566.255,122506.54,123408.117,124281.547,125126.827,125945.739,126739.515,127506.883,128246.144,128957.943,129643.486,130303.609,130938.297,131547.112,132130.217,132687.658,133219.454,133725.734,134206.304,134660.635,135087.973,135487.826
"CARICOM (Caribbean Community)",6633.001,6765.35,6902.479,7042.926,7185.686,7329.966,7475.417,7622.102,7770.261,7920.371,8072.83,8227.736999999999,8384.447,8541.668,8697.531000000001,8850.837,9001.374,9149.521000000001,9295.305,9439.058000000001,9581.218999999999,9721.781999999999,9861.464,10002.076,10146.055,10295.32,10449.796,10609.568,10776.257,10951.763,11136.973,11333.37,11539.424,11749.836,11957.119,12156.268,12344.686,12524.228,12699.007,12875.406,13057.792,13247.571,13442.934,13641.606,13840.012,14035.561,14227.603,14417.199,14605.276,14793.224,14982.213,15172.435,15363.545,15555.622,15748.77,15942.788,16137.796,16333.646,16530.448,16728.383,16927.406,17127.6,17328.492,17528.919,17727.402,17922.703,18114.339,18302.312,18487.105,18669.459,18849.823,19028.295,19204.393,19377.776,19547.852,19714.154,19876.585,20035.161,20189.983,20341.162,20488.751,20632.761,20773.077,20909.91,21043.465,21173.956,21301.362,21425.595,21546.258,21662.914,21775.119,21882.724,21985.806,22084.307,22178.403,22268.177,22353.544,22434.365,22510.465,22581.53,22647.354
"CBD (Convention on Biological Diversity)",2526116.928,2573292.37,2619695.271,2666018.059,2712828.374,2760568.619,2809551.401,2859964.284,2911884.033,2965300.773,3020189.215,3076585.768,3134654.843,3194717.961,3257172.285,3322251.557,3390060.433,3460375.663,3532681.74,3606263.485,3680552.471,3755447.486,3830944.092,3906697.977,3982330.467,4057466.284,4132211.071,4206591.153,4281151.074,4356664.058,4433721.495,4512299.926,4592270.699,4674063.046,4758122.096,4844647.579,4933905.944,5025472.001,5117994.558,5209645.953,5299096.901,5385843.491,5470183.847,5552585.308,5633866.151,5714655.112,5795057.432,5874933.706,5954405.162,6033577.108,6112565.469,6191438.399,6270332.059,6349500.694,6429245.276,6509779.044,6591194.012,6673445.208,6756424.805,6839950.373,6923858.608,7008084.646,7092569.628,7177162.099,7261702.244,7346043.799,7430111.034,7513793.035,7596874.573,7679107.146,7760301.218,7840342.426,7919213.17,7996952.352,8073652.675,8149381.971,8224119.354,8297821.963000001,8370514.175,8442229.881999999,8512989.404999999,8582800.107999999,8651642.228,8719475.947000001,8786245.992000001,8851909.923,8916448.294,8979862.514,9042155.835999999,9103340.157,9163420.522,9222391.945,9280239.02,9336943.607999999,9392483.796,9446842.367000001,9500011.294,9551988.238,9602767.027000001,9652343.592,9700714.625
"CEFTA (Central European Free Trade Agreement)","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",22618.556,22521.821,22425.871,22330.457,22235.189,22142.27,22054.534,21973.66,21900.683,21834.572,21772.114,21708.843,21641.39,21568.677,21491.141,21408.918,21322.701,21232.894,21139.26,21041.377,20939.457,20833.829,20724.747,20612.351,20496.632,20377.546,20255.066,20129.152,19999.899,19867.529,19732.457,19595.13,19455.926,19315.067,19172.691,19028.989,18884.179,18738.458,18591.971,18444.779,18296.931,18148.434,17999.206
"CEMAC (Economic and Monetary Community of Central Africa)",9662.074000000001,9819.343000000001,9978.374,10140.515,10306.92,10478.749,10657.085,10842.96,11037.273,11240.933,11454.706,11679.134,11914.604,12161.271,12419.045,12687.869,12968.482,13260.929,13563.918,13875.531,14194.716,14521.716,14857.932,15204.79,15564.144,15937.996,16326.274,16730.369,17155.119,17606.71,18089.393,18605.527,19153.752,19729.852,20327.457,20941.907,21571.962,22218.905,22883.928,23568.967,24275.497,25004.445,25755.263,26526.45,27315.748,28122.056,28944.624,29785.444,30649.518,31543.404,32471.978,33436.575,34436.034,35469.498,36535.171,37631.27,38758.655,39916.692,41100.495,42303.6,43521.659,44752.349,45997.491,47261.917,48552.625,49874.876,51229.949,52616.375,54032.967,55477.512,56948.292,58444.971,59967.802,61516.488,63090.717,64690.076,66314.08,67961.836,69632.33,71324.28200000001,73036.538,74768.27,76518.76700000001,78287.311,80073.249,81875.79399999999,83694.159,85527.474,87374.967,89235.803,91109.236,92994.322,94890.228,96796.08100000001,98710.958,100633.944,102564.319,104501.039,106442.963,108388.755,110337.263
"CEN-SAD (Community of Sahel-Saharan States)",115447.317,117627.929,119945.773,122389.402,124950.137,127622.052,130402.326,133290.802,136289.873,139403.764,142636.408,145989.719,149461.493,153044.971,156730.496,160512.613,164399.003,168397.675,172504.857,176715.023,181031.031,185439.148,189959.365,194667.389,199663.641,205015.381,210757.053,216856.095,223229.353,229756.35,236348.947,242974.486,249654.811,256421.942,263330.041,270415.787,277691.914,285135.46,292706.065,300346.833,308020.609,315715.526,325712.812,333521.246,341477.015,349634.77,358013.314,366611.364,375439.716,384504.418,393811.767,403376.044,413208.041,423305.283,433660.711,444271.954,455134.982,466260.676,477678.673,489427.708,501533.096,514007.267,516722.005,529627.641,542842.362,556325.678,570068.116,584070.5550000001,598313.742,612777.3149999999,627445.727,642307.907,657361.15,672609.106,688060.965,703723.598,719594.168,735669.508,751956.9300000001,768465.873,785202.471,802165.458,819349.633,836751.2340000001,854365.072,872184.495,890203.992,908415.083,926802.76,945349.157,964038.116,982859.343,1001803.767,1020856.951,1040003.617,1059230.524,1078526.234,1097882.566,1117293.5,1136754.987,1156261.896
"CEPGL (Economic Community of the Great Lakes Countries)",16678.772,17040.474,17401.226,17773.227,18165.087,18581.959,19025.201,19492.663,19979.278,20477.789,20981.756,21488.472,22001.444,22531.661,23094.38,23699.796,24354.222,25052.732,25780.643,26516.964,27247.454,27965.49,28678.238,29401.979,30160.134,30969.175,31837.449,32758.959,33718.523,34693.649,35669.515,36636.099,37601.867,38592.391,39643.606,40778.938,42014.37,43335.826,44700.681,46048.819,47339.865,48557.091,49721.725,50877.647,52088.19,53399.773,54830.461,56369.219,57998.332,59687.985,61418.389,63185.23,65002.849,66891.904,68881.073,70990.97100000001,73229.238,75589.67200000001,78061.83100000001,80629.003,83278.79700000001,86006.89,88816.409,91710.644,94695.375,97773.632,100945.961,104206.735,107545.44,110948.083,114404.394,117909.932,121466.093,125075.59,128743.745,132474.47,136266.976,140119.389,144033.431,148011.245,152053.937,156161.397,160331.817,164562.469,168849.704,173190.151,177581.525,182021.977,186509.015,191040.037,195612.249,200223.296,204870.112,209548.343,214253.051,218980.025,223725.99,228488.825,233266.624,238058.044,242861.434
"CIS (Commonwealth of Independent States)","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",221349.067,221945.033,222340.284,222599.738,222743.688,222775.186,222724.38,222622.745,222501.244,222377.312,222276.547,222247,222343.908,222608.622,223057.159,223687.576,224497.989,225477.999,226613.594,227903.432,229333.019,230856.445,232414.366,233958.199,235469.77,236939.91,238340.597,239643.39,240827.892,241879.081,242796.944,243597.209,244305.755,244943.824,245516.12,246022.692,246474.93,246885.631,247265.877,247622.186,247959.938,248287.179,248611.883,248940.247,249276.462,249622.057,249976.507,250337.359,250702.185,251071.284,251443.992,251815.11,252178.018,252527.298,252860.639,253177.151,253474.213,253749.432,254000.856
"CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora)",2511286.83,2558714.842,2605249.834,2651585.615,2698296.061,2745835.102,2794532.079,2844596.464,2896130.864,2949153.164,3003662.362,3059709.454,3117458.456,3177213.462,3239343.239,3304061.322,3371470.777,3441357.391,3513209.152,3586316.845,3660117.816,3734508.615,3809486.795,3884723.245,3959859.235,4034532.672,4108856.784,4182851.53,4257043.258,4332178.859,4408830.752,4486968.794,4566502.519,4647806.939,4731370.77,4817403.234,4906174.419,4997255.247,5089287.255,5180432.197,5269354.308,5355546.936,5435414.301,5517124.767,5597731.375,5677880.258,5757682.87,5836995.679,5915934.36,5994594.468,6073084.144,6151470.494,6229890.972,6307650.172,6386915.824,6466977.867,6547927.414,6629717.353,6712236.444,6795298.08,6878736.102,6962484.296,7036370.655,7120230.917,7204076.705,7287761.329,7371214.178,7454319.397,7536837.981,7618489.408,7699061.553,7778430.346,7856585.412,7933580.511,8009531.599,8084523.627,8158539.749,8231532.592,8303524.841,8374546.267,8444614.484999999,8513737.444,8581897.766000001,8649056.073999999,8715157.756999999,8780160.982999999,8844046.513,8906815.892000001,8968472.372,9029027.560000001,9088486.443,9146844.204,9204085.691,9260192.684,9315143.249,9368920.028000001,9421515.218,9472926.756999999,9523149.176999999,9572179.316,9620014.607000001
"COMESA (Common Market for Eastern and Southern Africa)",95644.833,97804.09600000001,100025.849,102325.773,104716.595,107208.513,109808.718,112521.71,115349.612,118292.508,121350.301,124524.36,127818.776,131241.343,134801.629,138505.552,142362.023,146368.334,150504.068,154740.586,159060.191,163456.736,167945.177,172554.013,177323.024,182282.984,187448.457,192818.748,198391.127,204156.853,210112.299,216239.012,222545.38,229084.09,235926.195,243111.075,250677.539,258579.669,266669.796,274745.661,282667.557,290377.668,297932.566,305448.392,313098.279,321011.147,329228.628,337722.346,346467.994,355417.205,364539.285,373840.212,383352.898,393105.036,403132.818,413466.414,424109.721,435068.257,446374.483,458066.634,470168.392,482689.909,485500.247,498544.592,511934.44,525619.9620000001,539592.624,553841.227,568309.227,582928.428,597649.225,612441.537,627310.116,642284.552,657414.246,672734.52,688247.793,703938.1530000001,719801.271,735828.641,752012.271,768348.374,784832.8270000001,801456.0820000001,818206.728,835073.615,852047.665,869120.1,886279.605,903514.152,920811.905,938163.092,955557.0649999999,972979.682,990415.775,1007851.955,1025277.209,1042683.466,1060062.844,1077409.041,1094715.23
"EAC (East African Community)",23379.823,24006.289,24640.011,25290.688,25965.783,26670.559,27407.92,28178.559,28981.303,29813.498,30672.825,31558.983,32475.012,33428.175,34428.025,35480.976,36592.498,37760.231,38973.353,40216.265,41478.908,42758.028,44060.932,45401.053,46797.31,48264.117,49806.373,51422.559,53112.813,54875.181,56708.409,58605.407,60566.208,62603.572,64734.991,66967.95,69319.654,71773.197,74261.518,76693.925,79010.659,81180.704,83236.76,85261.219,87371.91499999999,89654.116,92140.018,94805.93300000001,97613.84,100501.779,103426.452,106380.088,109384.976,112463.427,115648.537,118964.887,122420.372,126009.67,129728.298,133567.155,137520.324,141580.3,155864.51,160404.507,165054.968,169831.181,174739.286,179766.823,184888.318,190068.644,195283.232,200520.996,205790.467,211110.548,216509.924,222008.971,227611.539,233309.361,239096.151,244961.547,250896.789,256899.724,262969.399,269099.541,275282.716,281512.709,287785.169,294097.474,300447.43,306833.533,313254.033,319705.865,326185.747,332691.391,339220.635,345771.24,352340.72,358926.284,365524.456,372131.618,378744.324
"ECA (Economic Commission for Africa)",227511.873,232031.491,236788.743,241774.629,246983.244,252411.765,258060.591,263933.189,270035.699,276376.38,282963.34,289802.749,296896.454,304241.756,311833.212,319669.71,327757.529,336108.628,344734.429,353648.588,362866.024,372392.703,382242.7,392447.14,403044.17,414063.226,425516.989,437406.05,449730.509,462485.088,475664.381,489260.872,503271.423,517698.203,532544.736,547806.091,563486.7780000001,579562.668,595965.6040000001,612606.166,629420.41,646390.5,663533.197,680864.382,698413.813,716211.504,734275.586,752625.043,771296.348,790332.118,809777.015,829655.539,850007.959,870913.423,892466.287,914741.714,937767.872,961555.617,986137.142,1011540.521,1037779.356,1064864.503,1092776.709,1121456.814,1150822.278,1180803.353,1211379.638,1242534.551,1274205.522,1306320.572,1338826.589,1371687.302,1404902.165,1438499.528,1472529.468,1507027.175,1541991.355,1577402.871,1613258.915,1649553.636,1686279.88,1723430.597,1760996.141,1798962.046,1837310.856,1876024.728,1915087.849,1954483.978,1994192.813,2034192.645,2074461.494,2114980.534,2155728.663,2196677.41,2237795.725,2279055.689,2320434.463,2361913.945,2403475.789,2445103.801,2486780.908
